NOMBRE_FAMILIA,NOMBRE_LUGAR_CAS,NOMBRE_LUGAR_EUS,COD_CALLE,NOMBRE_CALLE,COD_TIPO_VIA,NOMBRE_TIPO_VIA,NUMERO,BIS,COORDENADA_UTM_X,COORDENADA_UTM_Y
Edificios emblemáticos,INSTITUTO UNAMUNO,UNAMUNO INSTITUTUA ETA UNIBERTSITATE ESKOLA,9340,URQUIJO,AL,ALAMEDA,10,,505705.85,4789952.78
Edificios emblemáticos,PALACIO IBAIGANE,IBAIGANE JAUREGIA,6090,MAZARREDO,AL,ALAMEDA,23,,505775.03,4790556.82
Nueva Arquitectura,GRAN HOTEL DOMINE BILBAO,BILBAO DOMINE HOTELA,6090,MAZARREDO,AL,ALAMEDA,61,,505471.10,4790728.39
OTROS EDIFICIOS,UNIVERSIDAD DE DEUSTO,DEUSTO UNIBERTSITATEA,9795,UNIVERSIDADES,AV,AVENIDA,24,,505173.38,4791058.88
Música y ópera,MUSIKA-MÚSICA,MUSIKA-MÚSICA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,TEMPORADA ABAO-OLBE 2016-2017,Denboraldia Abao-Olbe 2016-2017,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,PROGRAMACIÓN EUSKALDUNA,PROGRAMACIÓN EUSKALDUNA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,OPERA MESSA DA REQUIEM,OPERA MESSA DA REQUIEM,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,OPERA IL BARBIERE DI SIVIGLIA,OPERA IL BARBIERE DI SIVIGLIA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,RAPHAEL,RAPHAEL,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA EUSKADI,EUSKADIKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKETRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BANDA MUNICIPAL DE BILBAO,BILBOKO UDAL MUSIKA BANDA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,LA ORQUESTA Y COROS UCRANIANOS,UKRANIAKO ORKESTRAK ETA ABESBATZAK,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA EUSKADI,EUSKADIKO ORKESTRA SIFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,CONCIERTO DE LUDOVICO EINAUDI,LUDOVICO EINAUDI MUSIKAGILE,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA EUSKADI,EUSKADIKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ZARZUELA: MARINA,ZARZUELA: MARINA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Museos,MUSEO GUGGENHEIM BILBAO,GUGGENHEIM BILBAO MUSEOA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,ORQUESTA SINF. DE EUSKADI,EUSKADIKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINF. DE EUSKADI,EUSKADIKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ORQUESTA SINFÓNICA BILBAO,BILBOKO ORKESTRA SINFONIKOA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,MANUEL CARRASCO,MANUEL CARRASCO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BERTÍN OSBORNE,BERTÍN OSBORNE,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ANDRÉS CALAMARO,ANDRÉS CALAMARO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Arte al aire libre,PUPPY,PUPPY,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,TULIPANES,IDI-BIHOTZAK,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,EL GRAN ÁRBOL Y EL OJO,ZUHAITZ GARAIA ETA BEGIA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,FUENTE DE FUEGO,SU-ITURRIA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,NIEBLA,LAINO ESKULTURA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,MAMÁ,AMA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Arte al aire libre,DODECLATHOS,DODECLATHOS,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Arte al aire libre,TERPSÍCORE,TERPSÍCORE,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,THE LEGEND OF ZELDA,THE LEGEND OF ZELDA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Cantajuegos,Cantajuegos,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Concierto Jamens Newton,Concierto Jamens Newton,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,CARLOS RIVERA,CARLOS RIVERA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Not The Rolling Stones Tribute,Not The Rolling Stones Tribute,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRANDES ÉXITOS DE LA MÚSICA DE TV,GRANDES ÉXITOS DE LA MÚSICA DE TV,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,TRES TENORES,TRES TENORES,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Alabama Gospel Choir,Alabama Gospel Choir,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,CARMEN DE SALVADOR TÁVORA,CARMEN DE SALVADOR TÁVORA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRAN CONCIERTO DE AÑO NUEVO,GRAN CONCIERTO DE AÑO NUEVO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRAN NOCHE DE LA GUITARRA ESPAÑOLA,GRAN NOCHE DE LA GUITARRA ESPAÑOLA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRANDES ÉXITOS DE LA MÚSICA DE CINE,GRANDES ÉXITOS DE LA MÚSICA DE CINE,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BOS-Orquesta Sinfónica Bilbao 17/18,BOS-Bilbao Orkestra Sinfonikoa 17/18,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Antonio Orozco-Destino,Antonio Orozco-Destino,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,SYMPHONIC RHAPSODY OF QUEEN,SYMPHONIC RHAPSODY OF QUEEN,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Salvatore Aldamo,Salvatore Aldamo,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Banda Municipal de txistularis,Bilboko Txistularien Bandako,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Carmina Burana Orff y Requiem Mozart,Carmina Burana Orff y Requiem Mozart,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ELECTRIC LIGHT ORCHESTRA.,ELECTRIC LIGHT ORCHESTRA.,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Ara Malikian,Ara Malikian,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,David Bustamante,David Bustamante,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Vanessa Martín,Vanessa Martín,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Raphael,Raphael,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,DIRTY DANCING,DIRTY DANCING,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,LA CENICIENTA,LA CENICIENTA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,PETER PAN,PETER PAN,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,FESTIVAL CLAN,FESTIVAL CLAN,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Orquesta Sinfónica Euskadi 17/18,Eus. Orkestra Sinfonikoa 16-17,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BILBAO PUERTO DE ARTE,BILBAO ARTE PORTUA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,EL CASERIO,EL CASERIO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Robe Iniesta,Robe Iniesta,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,Symphonic of Pink Floyd,Symphonic of Pink Floyd,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,ARIAS Y COROS FAMOSOS DE ÓPERA,ARIAS Y COROS FAMOSOS DE ÓPERA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,CARMINA BURANA,CARMINA BURANA,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BEATLES TRIBUTE,BEATLES TRIBUTE,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,LOS CHICOS DEL CORO,LOS CHICOS DEL CORO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,EJÉRCITO RUSO DE MOSCÚ,EJÉRCITO RUSO DE MOSCÚ,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRAN CONCIERTO DE AÑO NUEVO,GRAN CONCIERTO DE AÑO NUEVO,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,GRANDES EXITOS,GRANDES EXITOS,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,MUSIC HAS NO LIMITS,MUSIC HAS NO LIMITS,15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,BILBAO PUERTO DE ARTE José Coronado,BILBAO PUERTO DE ARTE José Coronado,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,LA TRAVIATA,LA TRAVIATA,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,LA FAMILIA ADDAMS,LA FAMILIA ADDAMS,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,Filarmónica de Berlín,Berlingo Filarmonika,15,ABANDOIBARRA,AV,AVENIDA,2,,505438.49,4790850.17
Música y ópera,"INDIA MARTÍNEZ "" TOUR SECRETO""","INDIA MARTÍNEZ "" TOUR SECRETO""",15,ABANDOIBARRA,AV,AVENIDA,4,,504577.80,4790648.84
Música y ópera,FESTIVAL BILBAO FLAMENCO JAIALDIA,FESTIVAL BILBAO FLAMENCO JAIALDIA,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Música y ópera,ROSANA,ROSANA,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Música y ópera,VIVA BROADWAY,VIVA BROADWAY,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Otros museos,MUSEO DEL NACIONALISMO VASCO,EUSKAL ABERTZALETASUNAREN MUSEOA,5800,MANDOBIDE,CL,CALLE,2,,506075.54,4790870.82
Arte al aire libre,JOSÉ ANTONIO AGIRRE,JOSE ANTONIO AGIRRE,3210,ERCILLA,CL,CALLE,1,,505789.01,4790477.40
Arte al aire libre,LAS MENINAS,MENINAK,3210,ERCILLA,CL,CALLE,1,,505789.01,4790477.40
Arte al aire libre,BLAS DE OTERO,BLAS DE OTERO,2970,EGAÑA,CL,CALLE,10,,505175.27,4789707.78
Otros museos,REPRODUCCIONES ARTÍSTICAS,BILBOKO BERREGINEN MUSEOA,8350,SAN FRANCISCO,CL,CALLE,14,,505926.70,4789442.83
Edificios emblemáticos,BIDEBARRIETA,BIDEBARRIETAKO LIBURUTEGIA,1490,BIDEBARRIETA,CL,CALLE,4,,506229.52,4789758.65
Edificios emblemáticos,LA BOLSA,"YOHN JAUREGIA ""LA BOLSA""",7270,PELOTA,CL,CALLE,10,,506167.29,4789641.35
Edificios emblemáticos,PALACIO ARANA,ARANA JAUREGIA,1400,BELOSTIKALE,CL,CALLE,1,,506230.86,4789462.07
Edificios emblemáticos,ESCUELAS MAESTRO GARCÍA RIVERO,MAESTRO GARCIA RIVERO ESKOLAK,70,ATXURI,CL,CALLE,2,,506457.66,4789287.12
Edificios emblemáticos,CASA CUNA,SEHASKA ETXEA,9245,URAZURRUTIA,CL,CALLE,3,,506346.49,4789233.88
Edificios emblemáticos,VIVIENDAS INDAUTXU,INDAUTXUKO ETXEBIZITZAK,3210,ERCILLA,CL,CALLE,34,,505137.35,4790089.25
Edificios emblemáticos,CHALET ALLENDE,ALLENDE TXALETA,9010,BOLIVAR SIMON,CL,CALLE,3,,504919.69,4789860.98
Edificios emblemáticos,CASA ANDUIZA,ANDUIZA ETXEA,9105,GUIARD TEOFILO,CL,CALLE,1,,505175.21,4790433.80
Edificios emblemáticos,PALACIO GORTÁZAR,GORTAZAR JAUREGIA,2420,CORREO,CL,CALLE,8,,506304.09,4789787.59
Otros museos,MUSEO DE PASOS DE SEMANA SANTA,ASTE SANTUKO PASOEN MUSEOA,4740,ITURRIBIDE,CL,CALLE,3,,506564.53,4789696.39
Otros museos,MUSEO TAURINO,ZEZENKETA MUSEOA,9485,VISTA ALEGRE,CL,CALLE,1,,505266.60,4789429.99
Edificios emblemáticos,ESTACIÓN LA CONCORDIA,LA CONCORDIA GELTOKIA,1160,BAILEN,CL,CALLE,2,,506058.22,4789852.76
Edificios emblemáticos,SOCIEDAD BILBAINA,SOCIEDAD BILBAINA,6720,NAVARRA,CL,CALLE,1,,506109.75,4789963.08
Música y ópera,ROCK EN FAMILIA,ROCK EN FAMILIA,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Música y ópera,DANIEL DIGES,DANIEL DIGES,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Música y ópera,EL ARREBATO,EL ARREBATO,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Música y ópera,GOSPELBILBAO,GOSPELBILBAO,1470,BERTENDONA,CL,CALLE,3,,505686.43,4789837.37
Nueva arquitectura,MERCADO DE LA RIBERA,ERRIBERAKO MERKATUA,7930,RIBERA,CL,CALLE,20,Y,506258.33,4789405.50
Monumentos religiosos,IGLESIA DEL SAGRADO CORAZÓN,JESUSEN BIHOTZAREN ELIZA,1110,AYALA CANCILLER,CL,CALLE,3,,505831.00,4789994.94
Nueva arquitectura,HOTEL MELIÁ BILBAO,MELIÁ BILBAO HOTELA,5472,LEIZAOLA LEHENDAKARI,CL,CALLE,29,,504828.01,4790729.17
Nueva Arquitectura,CENTRO COMERCIAL ZUBIARTE,ZUBIARTE MERKATARITZA-ZENTROA,5472,LEIZAOLA LEHENDAKARI,CL,CALLE,2,,504866.81,4790759.65
Edificios emblemáticos,CASA LEZAMA LEGUIZAMÓN,LEZAMA LEGUIZAMON ETXEA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,58,,505015.04,4790361.32
Edificios emblemáticos,EDIFICIO BBVA,BBVA ERAIKINA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,1,,505926.61,4790049.57
Edificios emblemáticos,EDIFICIO BBVA,BBVA ERAIKINA,4040,LOPEZ DE HARO D. DIEGO,GV,GRAN VIA,12,,505814.17,4790125.09
Arte al aire libre,A LA DERIVA,NORA EZEAN,6610,CHURRUCA Y BRUNET EVARISTO,ML,MUELLE,1,,504795.04,4790828.20
Arte al aire libre,SITIO Y LUGARES,LEKUAK ETA TOKIAK,6610,CHURRUCA Y BRUNET EVARISTO,ML,MUELLE,1,,504795.04,4790828.20
Arte al aire libre,MAIA,MAIA,6610,CHURRUCA Y BRUNET EVARISTO,ML,MUELLE,1,,504795.04,4790828.20
